算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
21-27-2-1-(GZ_Tianhe),21,27,2,1,14994.1422,14994.1422,14994.1422,3.44,4.57,4.05,1.0,9989.43,"T0:1次,T1:1次,T2:1次",3.0,11.0,113.0,0.0011,19.67,3.0,124.0,0.0061,34.67,5.0,133.33,0.0027,26.0,7.0,114.67,0.0014,16.33,3.0,224.0,1.2857,55.67,10.33,57.33,0.2862,0.0,0.0,203.67,1.1748,41.0,7.67,2.7625,2.1365,2.92,14994.1422,14994.1422,14994.1422,0.37,0.49,0.43,1.0,9989.43,T1:3次,3.0,12.67,171.33,0.0002,33.67,6.33,165.33,0.0004,34.0,5.33,179.0,0.0001,40.33,8.67,195.33,0.0012,35.67,7.33,72.0,0.0,2.0,1.33,248.33,0.011,70.33,11.67,0.0131,0.6471,0.0582
21-27-2-2-(GZ_Tianhe),21,27,2,2,15611.4574,15611.4574,15611.4574,3.2,4.1,3.56,1.0,10400.97,T2:3次,3.0,10.67,105.67,0.0053,17.33,3.33,133.33,0.0067,37.33,6.0,114.33,0.0006,15.67,4.33,107.33,0.0013,18.0,3.33,224.33,1.2763,50.33,11.33,53.33,0.281,0.0,0.0,183.0,1.0668,38.0,5.67,2.6438,1.9787,2.586,15611.4574,15611.4574,15611.4574,0.22,0.47,0.34,1.0,10400.97,"T0:2次,T2:1次",3.33,11.67,207.67,0.0003,52.33,6.33,146.0,0.0003,28.67,3.33,155.33,0.0001,21.33,4.0,195.33,0.0013,40.33,4.33,59.67,0.0,0.33,0.0,254.0,0.0117,61.67,9.33,0.0137,0.6286,0.0588
21-27-2-3-(GZ_Tianhe),21,27,2,3,15168.3273,15168.3273,15168.3273,3.88,4.68,4.22,1.0,10105.55,"T1:1次,T2:2次",3.0,13.0,130.33,0.0011,18.33,3.0,158.67,0.007,43.33,7.33,124.33,0.0088,19.67,6.33,148.67,0.0016,27.0,8.33,275.33,1.5311,63.0,14.33,57.67,0.3151,0.0,0.0,229.0,1.2575,45.33,10.67,3.1238,2.5386,3.3594,15168.3273,15168.3273,15168.3273,2.92,3.2,3.03,1.0,10105.55,"T1:2次,T2:1次",3.33,13.67,185.33,0.0003,42.33,8.33,195.33,0.0005,53.0,8.0,191.33,0.0001,44.0,9.33,227.67,0.0025,51.0,10.0,58.0,0.0001,1.0,1.0,286.33,0.0292,87.33,14.67,0.0327,4.395,0.0869
21-27-2-4-(GZ_Tianhe),21,27,2,4,15160.8246,15160.8246,15160.8246,3.71,4.46,4.19,1.0,10100.55,"T0:1次,T1:2次",3.0,12.33,127.67,0.0012,17.67,5.0,167.0,0.003,42.67,7.67,128.67,0.0006,21.67,5.33,131.0,0.0015,19.33,3.67,242.67,1.3242,46.33,10.33,53.0,0.2932,0.0,0.0,258.67,1.4832,55.0,11.33,3.1085,2.3759,3.4202,14942.8573,14942.8573,14942.8573,0.96,3.83,2.87,1.0,9955.24,T0:3次,3.33,14.67,219.33,0.0004,49.33,10.33,233.67,0.0006,60.33,9.0,197.0,0.0001,33.67,6.67,261.0,0.0027,59.0,10.67,83.0,0.0001,3.0,1.67,306.0,0.0293,81.33,13.67,0.0332,5.7095,0.0931
21-27-2-5-(GZ_Tianhe),21,27,2,5,14369.4626,14369.4626,14369.4626,3.72,4.66,4.19,1.0,9572.98,"T0:1次,T1:1次,T2:1次",3.0,12.67,113.67,0.001,11.67,2.33,192.67,0.0117,58.0,9.0,126.0,0.0047,14.67,2.67,137.33,0.0015,18.67,3.67,265.67,1.3778,53.0,8.33,54.33,0.3162,0.0,0.0,249.67,1.3989,50.0,9.33,3.1157,2.377,3.1308,14369.4626,14369.4626,14369.4626,0.22,0.5,0.36,1.0,9572.98,"T0:2次,T2:1次",3.33,11.0,148.0,0.0002,24.0,2.67,167.67,0.0004,43.67,7.0,141.0,0.0001,21.0,3.33,201.0,0.0013,45.0,6.67,58.0,0.0,0.67,0.0,197.67,0.0083,43.0,6.33,0.0103,0.5964,0.0527
22-36-2-1-(SH_Renmin),22,36,2,1,13247.1171,13247.1171,13247.1171,7.72,8.72,8.33,1.0,8824.74,"T0:1次,T1:1次,T2:1次",3.0,13.67,139.0,0.0167,27.33,4.67,185.0,0.0131,70.67,12.33,126.33,0.0008,29.33,5.33,131.67,0.0024,25.33,5.67,267.67,3.5334,77.33,14.0,53.67,0.678,0.0,0.0,260.67,3.4515,75.33,14.0,7.7068,5.8004,5.7214,13247.1171,13247.1171,13247.1171,3.96,4.88,4.51,1.0,8824.74,"T0:1次,T1:2次",3.67,13.33,177.67,0.0004,41.33,4.0,212.67,0.0007,67.33,8.33,190.33,0.0002,47.0,6.33,249.67,0.0035,67.67,7.33,63.0,0.0001,2.33,0.33,268.0,0.0416,85.67,11.0,0.0465,7.4225,0.1268
22-36-2-2-(SH_Renmin),22,36,2,2,13106.2436,13106.2436,13106.2436,6.55,9.02,8.1,1.0,8730.83,"T1:2次,T2:1次",3.0,12.67,124.67,0.0019,28.0,4.67,192.67,0.0048,79.67,10.33,127.0,0.005,21.0,5.33,124.0,0.0021,23.0,4.0,261.67,3.2538,76.67,13.67,57.33,0.7394,0.0,0.0,249.33,3.2402,75.0,10.67,7.2494,5.4877,5.3836,13106.2436,13106.2436,13106.2436,15.0,18.69,17.34,1.0,8730.83,"T0:1次,T1:2次",3.33,15.33,223.67,0.0005,71.33,10.0,253.0,0.001,87.0,15.67,180.33,0.0001,39.33,5.67,262.0,0.0057,74.67,10.33,64.33,0.0001,1.33,0.67,330.67,0.09,121.67,20.33,0.0974,33.0762,0.1782
22-36-2-3-(SH_Renmin),22,36,2,3,14002.1396,14021.1987,14008.4926,6.13,8.4,7.44,1.0,9332.33,"T1:2次,T2:1次",3.0,12.0,107.0,0.0013,22.67,2.67,177.33,0.008,78.33,10.67,136.33,0.0008,32.33,8.33,107.0,0.0016,19.67,2.33,233.67,2.8582,71.33,10.33,51.67,0.6231,0.0,0.0,242.33,3.0771,81.67,13.67,6.5741,5.0397,4.9083,13942.4974,14002.1396,13963.0516,3.0,6.95,4.98,1.0,9302.03,T1:3次,3.67,15.33,224.0,0.0004,56.33,4.67,267.0,0.0008,88.67,9.33,203.0,0.0002,42.67,7.67,286.67,0.0042,75.33,8.67,85.33,0.0001,3.33,1.0,322.0,0.0481,109.0,12.0,0.0538,8.3613,0.1559
22-36-2-4-(SH_Renmin),22,36,2,4,13306.004,13306.004,13306.004,7.08,12.69,9.35,1.0,8864.0,"T0:1次,T1:1次,T2:1次",3.0,15.67,156.33,0.0018,30.33,5.0,213.67,0.0341,77.0,10.0,153.0,0.005,36.0,6.0,169.0,0.0067,35.0,7.67,318.67,3.9063,88.33,14.33,56.67,0.6675,0.0,0.0,316.67,4.0522,90.0,14.33,8.6942,6.7495,6.6774,13306.004,13306.004,13306.004,1.42,5.01,3.57,1.0,8864.0,T0:3次,3.67,14.67,199.67,0.0004,52.67,4.67,218.33,0.0007,66.33,7.33,197.0,0.0001,43.33,6.67,268.33,0.0034,66.33,8.0,69.0,0.0001,2.33,1.33,277.67,0.0347,93.67,9.33,0.0394,5.3796,0.1351
22-36-2-5-(SH_Renmin),22,36,2,5,12454.9574,12454.9574,12454.9574,7.49,7.88,7.64,1.0,8296.64,"T0:2次,T2:1次",3.0,12.0,126.0,0.0015,24.67,5.0,166.33,0.0039,59.0,7.0,126.67,0.0007,23.67,4.67,120.33,0.0018,19.67,1.0,252.0,3.0337,66.33,11.0,53.67,0.6161,0.0,0.0,233.67,2.7899,60.67,6.67,6.4539,4.7434,4.6842,12454.9574,12454.9574,12454.9574,1.7,1.79,1.75,1.0,8296.64,"T0:2次,T2:1次",3.0,12.0,160.33,0.0003,37.33,4.33,166.33,0.0005,43.67,5.0,165.0,0.0001,39.0,5.67,204.67,0.0025,51.33,6.67,65.0,0.0,1.67,1.0,222.0,0.0273,67.0,7.33,0.0308,3.521,0.1049
