算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
13-12-5-1-(0),13,12,5,1,22258.4702,22258.4702,22258.4702,3.18,3.29,3.22,1.0,14832.31,"T0:2次,T1:1次,T2:1次,T3:1次",15.0,44.0,454.4,0.0042,45.0,3.2,568.0,0.0148,77.8,8.6,467.0,0.002,34.0,3.8,510.6,0.0196,57.4,5.8,937.8,0.7218,103.2,11.0,104.8,0.0627,0.2,0.0,957.4,0.7338,110.8,10.4,1.5732,1.4764,7.4505,22258.4702,22258.4702,22258.4702,2.44,5.62,3.93,1.0,14832.31,T0:5次,16.0,44.0,688.4,0.0066,22.0,2.0,604.4,0.0452,15.0,4.4,707.2,0.0057,31.0,4.2,876.4,0.0696,31.2,4.4,197.0,0.0094,3.8,1.0,926.6,0.3625,33.0,5.2,0.499,9.3017,2.6755
13-12-5-1-(1),13,12,5,1,20535.1741,20535.1741,20535.1741,2.66,2.75,2.71,1.0,13683.45,"T0:1次,T1:2次,T2:2次",13.6,44.0,484.6,0.0043,46.8,4.8,545.0,0.0204,66.4,11.8,474.2,0.002,40.0,3.4,496.2,0.037,49.4,6.4,933.4,0.7775,98.0,14.0,114.2,0.0498,0.6,0.2,952.4,0.7908,104.0,12.2,1.6918,1.5897,5.2139,20535.1741,20535.1741,20535.1741,2.77,2.99,2.89,1.0,13683.45,"T0:2次,T1:1次,T2:1次,T3:1次",15.4,44.0,697.6,0.0183,84.6,3.0,599.2,0.0158,44.8,6.4,703.2,0.0011,94.2,5.2,917.0,0.066,106.8,6.0,119.4,0.0002,1.6,0.8,963.6,0.2917,115.2,7.8,0.3931,6.3851,2.5405
13-12-5-1-(2),13,12,5,1,19540.673,19540.673,19540.673,2.06,2.13,2.09,1.0,13020.45,"T0:2次,T2:2次,T3:1次",12.8,44.0,488.2,0.0184,46.0,4.8,570.4,0.0193,98.2,10.4,471.8,0.0088,50.4,7.2,469.6,0.0307,43.8,3.8,936.4,0.8934,113.4,12.0,115.2,0.1181,0.6,0.2,948.4,0.9327,124.4,14.0,2.0538,1.1593,3.2292,19562.5599,19577.1945,19569.63,3.72,7.37,4.8,1.0,13039.75,"T0:1次,T1:1次,T3:3次",13.8,44.0,746.4,0.0113,70.2,8.4,471.6,0.0135,26.6,3.4,782.0,0.0028,80.0,10.8,864.8,0.0669,71.6,10.0,125.2,0.0003,1.6,0.4,1010.0,0.4334,103.6,12.2,0.5282,12.0608,2.5378
13-12-5-2-(0),13,12,5,2,21924.9762,24212.1522,22382.4114,2.68,2.82,2.72,1.2,14913.61,"T0:2次,T1:1次,T2:1次,T3:1次",15.0,44.0,474.2,0.0133,35.2,5.0,539.4,0.0167,58.8,6.8,481.4,0.0126,24.0,2.8,505.0,0.0034,33.0,5.8,953.6,0.6622,75.6,10.2,114.8,0.0447,1.0,0.2,931.6,0.6965,74.4,10.0,1.4698,1.4873,5.8062,21924.9762,21924.9762,21924.9762,3.53,4.8,4.2,1.0,14609.98,"T0:3次,T1:2次",16.0,44.0,735.8,0.0214,45.2,4.4,569.0,0.0541,30.2,5.6,695.2,0.0011,43.8,4.8,888.6,0.1323,52.6,7.2,172.6,0.0004,4.4,1.4,938.8,0.3529,62.2,6.2,0.5622,9.9707,2.5586
13-12-5-2-(1),13,12,5,2,19024.6014,19024.6014,19024.6014,2.19,2.23,2.21,1.0,12676.4,"T0:3次,T1:2次",19.8,44.0,511.0,0.0029,38.8,0.0,469.6,0.0108,21.8,0.0,508.8,0.0067,49.0,0.2,510.6,0.0079,43.8,0.0,935.2,0.7381,74.2,0.0,126.2,0.0589,0.8,0.0,938.6,0.7782,78.4,0.2,1.6281,1.2539,3.9764,19024.5541,19097.1828,19039.1082,3.12,7.42,4.43,1.0,12686.07,"T1:2次,T2:3次",17.6,44.0,713.6,0.0067,57.0,0.6,598.2,0.015,18.6,0.6,688.2,0.0056,48.4,1.2,826.8,0.0916,48.2,0.6,140.6,0.0003,2.8,0.8,1032.6,0.4386,73.0,1.0,0.5578,10.6422,2.7521
13-12-5-2-(2),13,12,5,2,20840.0569,20840.0569,20840.0569,2.12,2.18,2.15,1.0,13886.7,T0:5次,15.4,44.0,477.2,0.0043,37.8,2.6,560.0,0.0141,56.2,4.0,459.0,0.0108,38.8,3.8,503.8,0.006,42.4,3.8,955.2,0.6767,90.4,7.4,109.2,0.0706,0.2,0.2,935.6,0.7573,84.6,6.6,1.574,1.1765,3.838,20491.6063,20863.2926,20788.3317,3.71,7.71,6.12,1.0,13852.22,"T0:1次,T1:3次,T2:1次",14.4,44.0,746.8,0.0054,71.0,5.4,458.8,0.0349,24.8,3.6,794.4,0.0153,89.6,4.4,916.6,0.0738,88.4,6.2,143.0,0.0003,1.8,0.4,940.4,0.4064,95.2,6.8,0.5362,16.7516,2.5813
13-12-5-3-(0),13,12,5,3,25959.7124,25959.7124,25959.7124,3.15,3.21,3.18,2.0,17293.14,"T0:1次,T1:2次,T2:1次,T3:1次",15.6,44.0,473.4,0.0159,43.4,3.6,554.4,0.0159,72.0,5.2,486.6,0.0066,29.6,3.0,485.6,0.0261,40.0,2.8,926.4,0.6625,94.0,5.2,110.6,0.0409,0.6,0.2,963.0,0.7991,90.4,9.2,1.6006,1.6697,6.9494,25960.2365,25960.2365,25960.2365,3.84,5.86,4.78,2.0,17293.49,"T0:1次,T3:4次",15.4,44.0,723.6,0.0139,115.2,6.0,583.8,0.0238,75.4,6.2,692.6,0.0026,115.0,7.0,881.6,0.0954,142.0,6.8,176.6,0.0004,5.8,1.2,941.8,0.3998,157.8,11.2,0.5359,11.2038,2.3896
13-12-5-3-(1),13,12,5,3,19586.8508,19586.8508,19586.8508,2.07,2.11,2.09,1.0,13051.23,"T1:2次,T3:3次",12.8,44.0,498.4,0.0089,54.8,5.0,478.4,0.0118,51.2,5.6,508.2,0.017,63.6,7.0,515.0,0.0709,57.6,7.0,942.0,0.9038,112.8,11.4,106.8,0.1202,0.0,0.0,951.2,0.9644,114.4,13.2,2.1222,1.0574,3.2975,18437.6651,19586.8508,18699.2857,2.94,7.99,4.44,1.0,12459.52,"T0:1次,T2:2次,T3:2次",14.8,44.0,723.0,0.0022,68.2,6.4,626.8,0.0265,37.0,5.2,650.2,0.0011,56.4,5.8,921.0,0.069,83.8,8.8,134.2,0.0003,2.2,1.0,944.8,0.3247,75.6,7.6,0.4237,10.8021,2.5519
13-12-5-3-(2),13,12,5,3,19900.7642,19900.7642,19900.7642,2.07,2.11,2.08,1.0,13260.51,"T0:2次,T1:1次,T2:2次",14.8,44.0,470.0,0.0042,45.8,3.0,609.6,0.0523,115.8,5.0,442.4,0.0064,38.8,2.6,478.0,0.015,42.4,4.2,941.0,0.8531,125.2,8.6,134.2,0.069,1.2,0.0,924.8,0.8793,116.4,6.2,1.8936,1.1501,3.3722,19922.8837,19943.42,19929.7076,3.49,5.04,4.05,1.0,13279.81,"T0:4次,T1:1次",13.2,44.0,683.0,0.0036,64.2,5.2,600.0,0.0307,37.2,5.0,717.0,0.0012,70.6,7.2,842.4,0.0613,72.4,7.4,143.8,0.0033,3.4,1.2,1013.8,0.3574,96.2,8.8,0.4575,10.0996,2.6271
13-12-5-4-(0),13,12,5,4,24459.6588,24459.6588,24459.6588,2.79,2.81,2.8,2.0,16293.11,"T0:2次,T1:1次,T2:1次,T3:1次",15.0,44.0,488.8,0.0074,49.4,5.0,541.2,0.0332,67.8,7.0,481.6,0.0051,33.0,4.2,488.4,0.0034,47.2,3.8,954.4,0.6472,102.2,11.2,117.0,0.0325,0.4,0.2,928.6,0.5867,94.8,8.6,1.3343,1.506,6.0011,24459.6588,24459.6588,24459.6588,2.72,5.07,4.03,2.0,16293.11,"T0:1次,T1:3次,T3:1次",16.0,44.0,670.0,0.0095,83.8,3.4,633.4,0.0225,77.0,3.6,696.6,0.0041,100.4,3.0,872.0,0.0989,115.2,4.2,202.8,0.0004,9.0,1.4,925.2,0.3786,137.0,4.4,0.5141,9.5354,2.5547
