算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
26-30-10-1-(grid-0),26,30,10,1,34521.281,34521.281,34521.281,13.5,13.63,13.55,1.0,23007.52,"T0:2次,T1:1次,T2:2次",14.6,44.0,504.6,0.0311,92.6,5.8,587.2,0.0544,187.6,11.0,433.4,0.0099,80.2,5.0,474.8,0.0213,85.0,7.0,959.2,10.5029,229.2,15.6,94.0,0.8255,0.0,0.0,946.8,10.9615,216.2,13.2,22.4721,11.2445,14.114,34521.281,34521.281,34521.281,88.17,193.61,144.22,1.0,23007.52,"T0:1次,T1:2次,T2:1次,T3:1次",14.6,44.0,710.4,0.0054,135.0,10.6,711.6,0.081,143.8,11.6,578.0,0.0121,88.2,9.8,843.8,0.534,143.0,12.2,108.8,0.0005,2.0,0.4,1047.4,5.639,222.0,19.4,6.272,460.6545,11.7806
26-30-10-1-(grid-0),26,30,10,1,34521.281,34521.281,34521.281,4.81,6.27,5.42,1.0,23007.52,"T0:1次,T1:1次,T2:1次",3.0,12.67,129.33,0.0058,20.33,5.0,159.0,0.0096,52.0,8.67,137.0,0.0011,20.67,6.67,132.0,0.0093,24.67,4.33,241.67,1.8673,53.0,10.67,62.0,0.4341,0.0,0.0,253.67,2.0254,64.67,14.0,4.3562,3.375,4.2503,34521.281,34521.281,34521.281,39.07,70.39,51.57,1.0,23007.52,"T0:2次,T1:1次",4.0,15.33,236.67,0.0078,43.0,7.0,228.0,0.0073,51.67,8.33,187.67,0.0006,35.0,5.33,275.67,0.0842,55.0,10.0,62.0,0.0003,1.33,0.0,314.67,0.796,73.33,10.67,0.8963,83.2217,3.4651
26-30-10-1-(grid-1),26,30,10,1,40209.8085,49871.1738,46650.7187,5.66,6.29,6.05,1.67,31089.37,"T0:1次,T1:1次,T2:1次",3.0,13.67,130.33,0.0062,14.33,1.33,196.67,0.0233,49.67,7.67,131.33,0.0033,12.33,1.67,152.67,0.0027,18.0,3.33,263.33,1.3155,42.33,7.33,64.0,0.2706,0.33,0.0,283.67,1.5006,51.67,6.67,3.1304,4.1949,5.3809,40209.8085,40276.0123,40231.8764,226.83,473.62,327.75,1.0,26814.58,"T0:1次,T1:1次,T2:1次",4.67,20.33,321.33,0.0114,80.67,7.33,352.67,0.0423,99.0,11.67,228.33,0.001,36.0,4.0,378.33,0.2695,90.33,10.67,94.67,0.0007,1.33,0.33,429.33,3.2218,124.0,12.0,3.5466,710.2098,6.8672
26-30-10-1-(linear-0),26,30,10,1,31761.2278,31761.2278,31761.2278,3.83,4.04,3.97,1.0,21167.49,"T0:2次,T1:1次",3.0,9.0,88.0,0.0117,9.67,0.67,107.0,0.0028,35.33,1.67,65.33,0.0007,6.0,0.0,97.33,0.0076,13.33,1.67,143.0,1.2141,28.33,1.67,60.33,0.4322,1.0,0.0,154.33,1.3365,35.0,2.33,3.0162,2.294,2.6908,31761.2278,31761.2278,31761.2278,29.04,60.49,47.14,1.0,21167.49,"T1:2次,T2:1次",4.67,13.33,186.33,0.0019,35.0,1.0,213.67,0.0155,53.33,2.67,173.67,0.0006,29.33,0.67,238.33,0.1074,55.0,2.0,72.0,0.0004,1.0,0.33,263.33,0.9698,61.67,2.0,1.0955,94.1913,3.4738
26-30-10-1-(linear-1),26,30,10,1,50067.1867,50067.1867,50067.1867,6.66,7.17,6.85,2.0,33364.79,"T0:1次,T2:2次",3.0,15.67,173.33,0.0066,25.0,8.33,212.67,0.0155,48.67,14.0,152.33,0.0055,16.33,4.33,166.33,0.0028,23.0,8.0,327.33,1.5153,55.0,16.67,59.67,0.2626,0.0,0.0,317.67,1.6772,58.0,18.0,3.5004,4.8856,6.5189,49249.9961,49328.1356,49302.0891,34.17,54.29,45.4,2.0,32854.73,"T0:1次,T2:2次",4.0,17.0,223.67,0.0022,40.33,5.0,297.67,0.048,84.67,9.33,219.33,0.0008,37.33,5.33,323.67,0.122,72.0,7.33,55.67,0.0003,0.0,0.0,361.33,1.276,90.33,12.33,1.4491,98.4685,4.8802
26-30-10-1-(radial-0),26,30,10,1,39538.6128,44193.9223,41090.3826,4.66,5.82,5.19,1.33,27384.7,"T0:2次,T1:1次",3.0,11.67,120.67,0.008,21.33,6.0,129.0,0.0074,37.0,6.67,110.0,0.009,18.67,4.0,123.67,0.0143,20.33,7.0,207.33,1.2373,46.33,11.33,56.0,0.2886,0.0,0.0,220.0,1.3486,51.0,12.33,2.9226,3.4208,4.4931,39769.3573,40190.7873,39925.3485,58.46,72.92,64.33,1.0,26610.23,T2:3次,4.33,19.33,291.67,0.0064,66.33,5.67,280.33,0.0248,65.33,7.33,273.0,0.0009,55.33,7.67,353.33,0.1333,77.0,9.0,95.0,0.0005,3.67,1.0,396.67,1.316,106.33,10.67,1.4818,130.542,5.8889
26-30-10-1-(radial-1),26,30,10,1,37114.4553,37114.4553,37114.4553,4.65,5.03,4.78,1.0,24736.3,"T0:1次,T1:2次",3.0,11.0,102.33,0.0017,12.0,5.67,133.0,0.0147,31.33,8.33,110.0,0.005,16.0,4.67,118.33,0.0023,14.0,6.0,206.33,1.67,35.67,13.0,49.67,0.3605,0.0,0.0,207.67,1.7356,37.67,11.67,3.8011,2.9327,3.4601,37288.1301,37603.3742,37407.153,81.91,88.77,84.28,1.0,24931.44,T2:3次,3.0,19.33,285.67,0.0049,69.0,8.0,286.33,0.0184,71.67,11.33,288.33,0.001,61.0,12.0,400.67,0.2349,93.67,18.33,55.0,0.0003,0.33,0.0,404.67,1.8861,107.67,13.0,2.1456,189.8624,6.5325
26-30-10-1-(random-0),26,30,10,1,77194.3861,78784.3777,78238.4227,4.68,7.38,5.65,2.0,52145.62,"T0:1次,T1:1次,T2:1次",3.0,13.33,145.0,0.0098,32.0,3.0,186.67,0.0125,50.0,8.0,116.67,0.001,15.33,0.67,142.33,0.0025,34.0,2.67,254.33,1.2123,58.33,6.67,64.33,0.2659,0.67,0.33,272.0,1.2194,72.33,7.33,2.7472,4.2131,5.0494,78679.7316,78893.366,78778.5844,92.8,200.38,138.13,2.0,52505.72,"T0:1次,T2:2次",4.0,17.67,271.0,0.0068,58.33,5.0,213.0,0.0145,31.33,1.67,284.33,0.0009,53.67,8.67,300.0,0.1788,57.33,5.33,81.0,0.0005,1.33,0.67,387.33,1.8333,84.67,9.33,2.0349,321.5451,4.0657
26-30-10-1-(random-1),26,30,10,1,67280.5866,67280.5866,67280.5866,4.17,5.15,4.59,2.0,44840.39,T2:3次,3.0,11.33,122.67,0.0165,26.33,5.33,133.67,0.008,41.33,7.33,104.33,0.0058,14.33,4.0,116.67,0.0017,23.67,4.67,218.67,1.0309,57.0,10.67,51.67,0.2186,0.0,0.0,207.0,0.9038,48.67,10.67,2.198,3.0363,3.8787,67280.5866,67280.5866,67280.5866,47.63,56.21,52.47,2.0,44840.39,"T0:1次,T2:2次",3.0,14.67,218.33,0.0066,50.67,5.67,196.0,0.0086,35.0,3.67,201.0,0.0005,40.0,4.33,230.0,0.0787,40.0,3.33,58.33,0.0003,0.67,0.0,327.0,1.1388,85.0,10.33,1.2335,110.6969,3.2027
26-30-10-2-(grid-0),26,30,10,2,33361.9533,33361.9533,33361.9533,4.08,5.03,4.47,1.0,22234.64,T1:3次,3.0,10.67,115.0,0.0014,17.0,5.67,134.33,0.0276,28.0,8.33,90.33,0.0007,11.67,3.33,110.33,0.0066,15.0,6.67,198.67,1.5642,34.67,11.67,53.67,0.4009,0.0,0.0,197.67,1.6254,37.0,12.33,3.6398,2.8258,3.1951,33361.9533,33361.9533,33361.9533,206.3,309.03,252.18,1.0,22234.64,"T0:1次,T1:1次,T2:1次",4.33,16.33,271.33,0.0024,60.0,13.33,259.0,0.0465,64.0,10.0,203.67,0.0007,36.0,8.33,317.67,0.281,70.33,13.67,61.0,0.0004,0.67,0.67,355.33,3.5837,89.0,17.33,3.9147,601.4356,6.7257
