算例名,节点数,边数,无人机数,基站编号,ALNS_PSO_目标函数_最小值,ALNS_PSO_目标函数_最大值,ALNS_PSO_目标函数_均值,ALNS_PSO_求解时间_最小(s),ALNS_PSO_求解时间_最大(s),ALNS_PSO_求解时间_均值(s),ALNS_PSO_实际使用无人机数_均值,ALNS_PSO_总飞行距离_均值(m),ALNS_PSO_最优线程ID分布,ALNS_PSO_公共池拉取次数_均值,ALNS_PSO_推入公共池次数_均值,ALNS_PSO_破坏_random_调用次数_均值,ALNS_PSO_破坏_random_耗时_均值(s),ALNS_PSO_破坏_random_改进当前解_均值,ALNS_PSO_破坏_random_改进最优解_均值,ALNS_PSO_破坏_worst_调用次数_均值,ALNS_PSO_破坏_worst_耗时_均值(s),ALNS_PSO_破坏_worst_改进当前解_均值,ALNS_PSO_破坏_worst_改进最优解_均值,ALNS_PSO_破坏_route_调用次数_均值,ALNS_PSO_破坏_route_耗时_均值(s),ALNS_PSO_破坏_route_改进当前解_均值,ALNS_PSO_破坏_route_改进最优解_均值,ALNS_PSO_破坏_bp_split_调用次数_均值,ALNS_PSO_破坏_bp_split_耗时_均值(s),ALNS_PSO_破坏_bp_split_改进当前解_均值,ALNS_PSO_破坏_bp_split_改进最优解_均值,ALNS_PSO_修复_greedy_调用次数_均值,ALNS_PSO_修复_greedy_耗时_均值(s),ALNS_PSO_修复_greedy_改进当前解_均值,ALNS_PSO_修复_greedy_改进最优解_均值,ALNS_PSO_修复_random_调用次数_均值,ALNS_PSO_修复_random_耗时_均值(s),ALNS_PSO_修复_random_改进当前解_均值,ALNS_PSO_修复_random_改进最优解_均值,ALNS_PSO_修复_bp_aware_调用次数_均值,ALNS_PSO_修复_bp_aware_耗时_均值(s),ALNS_PSO_修复_bp_aware_改进当前解_均值,ALNS_PSO_修复_bp_aware_改进最优解_均值,ALNS_PSO_模块耗时_DR均值(s),ALNS_PSO_模块耗时_LS均值(s),ALNS_PSO_模块耗时_PSO均值(s),GiantRoute_目标函数_最小值,GiantRoute_目标函数_最大值,GiantRoute_目标函数_均值,GiantRoute_求解时间_最小(s),GiantRoute_求解时间_最大(s),GiantRoute_求解时间_均值(s),GiantRoute_实际使用无人机数_均值,GiantRoute_总飞行距离_均值(m),GiantRoute_最优线程ID分布,GiantRoute_公共池拉取次数_均值,GiantRoute_推入公共池次数_均值,GiantRoute_破坏_random_调用次数_均值,GiantRoute_破坏_random_耗时_均值(s),GiantRoute_破坏_random_改进当前解_均值,GiantRoute_破坏_random_改进最优解_均值,GiantRoute_破坏_worst_调用次数_均值,GiantRoute_破坏_worst_耗时_均值(s),GiantRoute_破坏_worst_改进当前解_均值,GiantRoute_破坏_worst_改进最优解_均值,GiantRoute_破坏_segment_调用次数_均值,GiantRoute_破坏_segment_耗时_均值(s),GiantRoute_破坏_segment_改进当前解_均值,GiantRoute_破坏_segment_改进最优解_均值,GiantRoute_修复_greedy_调用次数_均值,GiantRoute_修复_greedy_耗时_均值(s),GiantRoute_修复_greedy_改进当前解_均值,GiantRoute_修复_greedy_改进最优解_均值,GiantRoute_修复_random_调用次数_均值,GiantRoute_修复_random_耗时_均值(s),GiantRoute_修复_random_改进当前解_均值,GiantRoute_修复_random_改进最优解_均值,GiantRoute_修复_regret_调用次数_均值,GiantRoute_修复_regret_耗时_均值(s),GiantRoute_修复_regret_改进当前解_均值,GiantRoute_修复_regret_改进最优解_均值,GiantRoute_模块耗时_DR均值(s),GiantRoute_模块耗时_LS均值(s),GiantRoute_模块耗时_PSO均值(s)
10-12-5-1-(0),10,12,5,1,12175.132,12175.132,12175.132,1.95,2.09,2.0,2.0,8103.42,"T0:3次,T1:2次",20.0,44.0,497.4,0.0039,14.2,0.0,503.2,0.0271,21.2,0.0,505.4,0.0122,10.6,0.0,494.0,0.0345,15.4,0.0,944.6,0.6959,31.4,0.0,154.8,0.0755,1.6,0.0,900.6,0.5526,28.4,0.0,1.4418,1.4036,3.3067,12175.132,12175.132,12175.132,2.23,3.85,3.26,2.0,8103.42,"T0:3次,T1:1次,T3:1次",16.0,44.0,648.4,0.0158,39.0,1.4,689.8,0.024,68.0,5.8,661.8,0.0122,50.6,2.6,892.0,0.0823,71.8,4.8,169.0,0.0004,3.2,0.4,939.0,0.3391,82.6,4.6,0.4738,7.6684,2.1133
10-12-5-1-(1),10,12,5,1,8843.6309,8843.6309,8843.6309,3.17,3.27,3.22,1.0,5889.09,"T0:3次,T1:2次",20.0,44.0,465.8,0.0067,25.2,0.0,537.4,0.0082,40.2,0.0,485.4,0.0097,15.0,0.0,511.4,0.0149,31.8,0.0,908.0,0.6363,57.8,0.0,238.6,0.1179,1.6,0.0,853.4,0.5802,52.8,0.0,1.4098,1.7238,7.5198,11103.6309,11103.6309,11103.6309,2.42,4.1,3.48,2.0,7389.09,"T1:2次,T2:2次,T3:1次",20.0,44.0,721.4,0.0051,99.8,0.0,609.4,0.0251,63.8,0.0,669.2,0.0037,82.6,0.0,905.8,0.0699,116.6,0.0,160.2,0.0062,4.8,0.0,934.0,0.3473,124.8,0.0,0.4573,7.6644,2.36
10-12-5-1-(2),10,12,5,1,8203.1939,8203.1939,8203.1939,2.56,2.72,2.66,1.0,5462.13,"T0:2次,T1:1次,T2:1次,T3:1次",20.0,44.0,520.2,0.0204,19.0,0.0,512.8,0.0342,26.4,0.0,489.2,0.0071,8.6,0.0,477.8,0.0175,17.0,0.0,876.2,0.5885,34.4,0.0,239.4,0.1658,0.4,0.0,884.4,0.6454,36.2,0.0,1.5154,1.5824,5.4041,10728.7704,10728.7704,10728.7704,2.22,2.26,2.25,2.0,7139.18,"T0:1次,T1:2次,T2:1次,T3:1次",20.0,44.0,641.8,0.0044,14.8,0.0,755.0,0.0154,34.2,0.0,603.2,0.0041,12.4,0.0,909.0,0.0599,30.2,0.0,165.0,0.0004,2.4,0.0,926.0,0.1897,28.8,0.0,0.2739,3.9521,2.4221
10-12-5-2-(0),10,12,5,2,11792.5968,11792.5968,11792.5968,2.39,2.46,2.42,1.0,7855.06,"T0:3次,T1:1次,T2:1次",20.0,44.0,473.6,0.0123,16.4,0.0,551.4,0.0157,50.2,0.0,499.2,0.0023,8.6,0.0,475.8,0.013,12.4,0.0,917.4,0.6536,41.4,0.0,166.8,0.1053,1.0,0.0,915.8,0.5145,45.2,0.0,1.3412,1.3978,4.8918,12308.7412,12308.7412,12308.7412,15.47,18.04,16.83,2.0,8192.49,"T1:1次,T2:1次,T3:3次",14.6,40.8,695.0,0.0139,68.8,5.8,629.2,0.0314,78.0,10.2,555.8,0.0014,45.0,3.6,818.0,0.255,86.8,8.2,166.0,0.0031,5.0,2.2,896.0,1.3204,100.0,9.2,1.6253,51.2203,2.5815
10-12-5-2-(1),10,12,5,2,9536.8264,9536.8264,9536.8264,2.23,2.3,2.26,2.0,6344.55,"T2:3次,T3:2次",14.8,44.0,481.8,0.0039,15.2,1.8,526.6,0.0332,32.8,4.2,491.6,0.0053,12.0,0.8,500.0,0.0107,18.8,1.8,919.4,0.7,39.2,2.6,141.4,0.0765,0.2,0.0,939.2,0.6498,39.4,6.0,1.5078,1.5074,4.0519,9536.8264,9536.8264,9536.8264,2.69,5.3,4.43,2.0,6344.55,"T0:3次,T1:1次,T2:1次",16.0,44.0,707.2,0.0065,51.6,2.8,666.0,0.042,47.8,3.8,626.8,0.0068,48.0,3.0,883.2,0.0753,70.4,3.6,157.2,0.0029,5.4,1.2,959.6,0.4177,71.6,4.8,0.5512,10.1743,2.4513
10-12-5-2-(2),10,12,5,2,7494.0315,7494.0315,7494.0315,2.09,2.24,2.15,1.0,4989.35,"T0:2次,T1:1次,T2:1次,T3:1次",16.0,44.0,491.4,0.0162,12.2,0.6,509.6,0.0283,30.4,1.6,490.8,0.0229,7.8,1.2,508.2,0.0091,14.8,0.8,936.2,0.7442,32.0,1.2,120.4,0.0525,0.0,0.0,943.4,0.7215,33.2,3.0,1.6125,1.5301,3.504,7494.0315,7494.0315,7494.0315,2.31,2.36,2.33,1.0,4989.35,"T0:4次,T1:1次",16.0,44.0,633.6,0.0091,2.6,1.6,737.2,0.0397,2.8,2.0,629.2,0.0012,2.2,0.8,931.6,0.0746,4.6,2.2,138.6,0.0003,0.2,0.0,929.8,0.2135,2.8,2.2,0.3384,3.9098,2.7634
10-12-5-3-(0),10,12,5,3,11109.4014,11464.2652,11322.3197,3.12,3.18,3.15,1.6,7537.55,"T0:4次,T1:1次",15.8,44.0,493.4,0.0127,18.4,2.6,545.0,0.0258,42.2,7.4,483.0,0.0123,9.0,0.8,478.6,0.0122,13.8,2.0,931.8,0.6602,42.0,7.2,145.6,0.0816,1.2,0.0,922.6,0.6884,40.2,5.6,1.5204,1.6742,7.0232,11464.2652,11464.2652,11464.2652,6.53,16.11,10.87,2.0,7629.51,"T0:1次,T1:2次,T2:1次,T3:1次",13.8,40.2,636.0,0.0055,49.0,2.8,620.8,0.021,60.4,3.6,588.2,0.0024,42.8,3.0,779.4,0.1701,65.4,2.8,142.2,0.005,2.6,1.6,923.4,0.9341,84.2,5.0,1.1381,31.6826,2.2658
10-12-5-3-(1),10,12,5,3,10029.4851,10123.961,10086.1706,2.23,2.26,2.24,1.0,6717.45,"T0:2次,T3:3次",20.0,44.0,496.4,0.0097,32.8,0.0,525.6,0.0426,54.8,0.0,475.0,0.0098,14.8,0.0,503.0,0.0203,32.8,0.0,907.4,0.68,69.8,0.0,188.2,0.1029,0.4,0.0,904.4,0.6894,65.0,0.0,1.5788,1.4559,4.0238,10597.4865,10597.4865,10597.4865,2.72,4.66,3.35,2.0,7051.66,"T0:1次,T1:1次,T3:3次",15.8,44.0,671.2,0.0107,77.6,5.8,677.2,0.041,90.8,6.8,651.6,0.0189,76.8,6.4,905.6,0.0856,119.6,8.0,164.2,0.0029,5.0,1.0,930.2,0.4052,120.6,10.0,0.5644,7.3442,2.4386
10-12-5-3-(2),10,12,5,3,7405.506,7405.506,7405.506,2.64,2.78,2.68,1.0,4930.34,"T0:3次,T1:2次",16.0,44.0,468.8,0.018,11.6,1.4,518.2,0.0209,26.2,2.4,515.4,0.0024,16.4,3.0,497.6,0.0129,15.0,1.0,938.2,0.8026,34.2,3.6,104.0,0.0806,0.0,0.0,957.8,0.833,35.0,4.2,1.7853,1.5199,5.3315,7405.506,7405.506,7405.506,2.82,4.99,4.17,1.0,4930.34,"T1:3次,T2:1次,T3:1次",16.0,44.0,653.2,0.0128,2.4,0.6,750.0,0.0416,6.6,3.0,596.8,0.0046,3.2,0.6,921.2,0.0871,6.2,2.4,136.4,0.005,0.2,0.2,942.4,0.4474,5.8,1.6,0.5985,9.3011,2.7318
10-12-5-4-(0),10,12,5,4,12298.7412,12298.7412,12298.7412,2.72,2.81,2.76,1.0,8192.49,"T0:3次,T1:2次",20.0,44.0,511.2,0.0201,50.8,0.0,483.4,0.023,49.6,0.0,495.6,0.0121,30.4,0.0,509.8,0.0091,46.0,0.0,912.6,0.6962,83.2,0.0,187.8,0.1269,4.6,0.0,899.6,0.6959,89.0,0.0,1.6211,1.8073,5.4204,12846.0679,12846.2099,12846.0978,6.4,16.24,10.73,2.0,8550.73,"T1:2次,T2:1次,T3:2次",14.0,44.0,701.6,0.0117,77.6,7.6,623.0,0.0231,77.4,9.0,675.4,0.0015,76.8,6.8,873.8,0.1435,101.6,11.0,170.2,0.0005,5.2,2.4,956.0,0.8359,125.0,10.0,1.0162,33.0403,2.522
10-12-5-4-(1),10,12,5,4,10133.961,10133.961,10133.961,2.51,2.64,2.56,2.0,6742.64,"T0:1次,T1:1次,T3:3次",15.8,44.0,499.2,0.0088,27.6,1.4,497.0,0.0193,43.4,2.0,484.0,0.0022,16.6,0.8,519.8,0.0278,36.8,2.4,915.4,0.6245,58.2,3.4,150.8,0.0696,1.2,0.0,933.8,0.685,65.0,3.2,1.4507,1.64,5.0477,10133.961,10133.961,10133.961,2.31,2.37,2.34,2.0,6742.64,"T0:4次,T1:1次",20.0,44.0,704.0,0.0122,39.8,0.0,627.8,0.0474,47.0,0.0,668.2,0.0062,34.0,0.0,886.2,0.0762,58.6,0.0,185.4,0.0004,4.0,0.0,928.4,0.2557,58.2,0.0,0.3982,4.2124,2.3285
10-12-5-1-(0),10,12,5,1,12175.132,12175.132,12175.132,2.01,2.18,2.06,2.0,8103.42,"T0:1次,T1:2次,T2:2次",20.0,44.0,488.8,0.0145,10.8,0.0,515.6,0.0173,21.4,0.0,512.8,0.0022,6.6,0.0,482.8,0.0117,13.6,0.0,899.4,0.5917,24.2,0.0,150.4,0.0566,1.0,0.0,950.2,0.5682,27.2,0.0,1.286,1.485,3.4389,12175.132,12175.132,12175.132,2.15,3.73,2.97,2.0,8103.42,"T0:3次,T1:1次,T3:1次",15.6,44.0,687.8,0.0021,59.2,4.2,636.4,0.0344,54.6,4.4,675.8,0.0061,57.4,3.0,881.0,0.0644,77.6,5.4,196.0,0.0004,6.6,0.8,923.0,0.3565,87.0,5.4,0.4639,6.9863,2.1239
10-12-5-1-(1),10,12,5,1,11103.6309,11103.6309,11103.6309,3.17,3.22,3.2,2.0,7389.09,"T0:3次,T1:2次",15.8,44.0,498.6,0.0154,39.2,2.8,525.8,0.0282,53.0,3.8,466.0,0.0107,18.4,1.2,509.6,0.0172,44.0,4.2,965.4,0.5626,82.4,7.2,125.8,0.0502,1.0,0.0,908.8,0.6251,71.2,4.8,1.3429,1.6963,7.355,11103.6309,11103.6309,11103.6309,2.34,3.56,2.66,2.0,7389.09,"T0:1次,T1:3次,T2:1次",20.0,44.0,742.6,0.0066,98.6,0.0,584.8,0.0315,57.8,0.0,672.6,0.0105,84.4,0.0,879.8,0.069,102.0,0.0,178.6,0.0004,5.8,0.0,941.6,0.2515,133.0,0.0,0.3695,5.4822,2.3181
10-12-5-1-(2),10,12,5,1,10728.7704,10728.7704,10728.7704,2.59,2.73,2.66,2.0,7139.18,"T0:2次,T1:1次,T2:1次,T3:1次",14.8,44.0,483.8,0.0222,17.8,2.2,523.6,0.0163,39.6,5.0,486.8,0.0092,17.4,3.2,505.8,0.0112,26.2,4.8,903.6,0.6159,47.4,6.2,150.4,0.1331,1.0,0.0,946.0,0.672,52.6,9.0,1.4956,1.5486,5.3653,10728.7704,10728.7704,10728.7704,2.11,2.2,2.15,2.0,7139.18,"T0:4次,T1:1次",20.0,44.0,639.4,0.0018,16.6,0.0,747.6,0.0397,39.6,0.0,613.0,0.001,16.0,0.0,914.0,0.1089,34.8,0.0,169.2,0.0003,2.2,0.0,916.8,0.2163,35.2,0.0,0.3679,3.4158,2.5664
10-12-5-2-(0),10,12,5,2,12308.7412,12308.7412,12308.7412,2.33,2.39,2.34,2.0,8192.49,T0:5次,16.0,44.0,487.4,0.0089,16.8,0.2,533.0,0.0163,53.8,3.0,496.4,0.0022,10.6,0.4,483.2,0.0033,13.2,0.4,918.8,0.5819,45.2,2.4,132.8,0.0574,1.2,0.0,948.4,0.5416,48.0,1.6,1.2494,1.6007,4.4425,12308.7412,12308.7412,12308.7412,12.49,16.14,14.22,2.0,8192.49,"T0:2次,T1:2次,T3:1次",13.4,41.8,698.0,0.0075,62.6,6.0,623.8,0.0659,75.2,9.0,583.2,0.0071,44.0,6.6,825.8,0.1879,83.0,9.4,144.2,0.0004,4.0,1.8,935.0,1.2233,94.8,10.4,1.4922,43.8914,2.436
10-12-5-2-(1),10,12,5,2,9536.8264,9536.8264,9536.8264,2.15,2.26,2.19,2.0,6344.55,"T0:1次,T1:2次,T2:2次",15.6,44.0,493.0,0.009,20.2,2.6,522.0,0.0343,34.4,5.8,491.4,0.0082,12.2,1.4,493.6,0.0083,22.0,3.4,955.6,0.5559,46.2,9.0,126.0,0.075,0.6,0.2,918.4,0.6139,42.0,4.0,1.3173,1.3048,4.0205,9536.8264,9536.8264,9536.8264,3.75,4.4,4.02,2.0,6344.55,"T0:3次,T1:1次,T3:1次",15.4,44.0,709.4,0.0091,47.6,2.6,625.8,0.0215,44.8,4.2,664.8,0.0011,47.8,4.2,890.0,0.0923,68.6,4.4,151.2,0.0003,4.0,0.6,958.8,0.5133,67.6,6.0,0.6376,9.8218,2.5196
10-12-5-2-(2),10,12,5,2,7494.0315,8342.557,7663.7366,2.02,2.07,2.05,1.2,5101.16,"T2:2次,T3:3次",13.6,44.0,502.6,0.0104,15.8,2.8,543.4,0.0222,30.4,7.0,474.4,0.002,8.6,1.0,479.6,0.0244,18.2,3.2,953.8,0.6163,41.2,6.8,118.2,0.0762,0.2,0.0,928.0,0.581,31.6,7.2,1.3536,1.7237,3.2726,7494.0315,7494.0315,7494.0315,2.21,3.61,2.51,1.0,4989.35,"T1:2次,T2:3次",16.0,44.0,631.0,0.0033,4.2,1.4,748.4,0.0228,5.4,2.6,620.6,0.0025,2.4,1.0,918.0,0.0537,5.0,1.6,133.8,0.0003,0.4,0.2,948.2,0.2834,6.6,3.2,0.366,4.555,2.7487
10-12-5-3-(0),10,12,5,3,11464.2652,11464.2652,11464.2652,3.1,3.15,3.12,2.0,7629.51,"T0:4次,T1:1次",16.0,44.0,458.8,0.0114,9.6,0.4,527.4,0.0236,42.8,4.4,503.6,0.0052,9.8,1.4,510.2,0.0168,17.4,3.2,933.0,0.7609,40.2,5.0,130.2,0.0527,1.0,0.2,936.8,0.7836,38.4,4.2,1.6823,1.6261,6.69,11464.2652,11464.2652,11464.2652,5.89,16.17,10.52,2.0,7629.51,"T1:2次,T2:1次,T3:2次",15.2,44.0,694.4,0.0072,51.4,2.4,682.6,0.0337,67.0,3.4,623.0,0.0041,44.6,4.2,866.6,0.1645,75.8,3.6,154.0,0.008,3.2,0.8,979.4,0.7786,84.0,5.6,0.996,29.7155,2.3807
10-12-5-3-(1),10,12,5,3,10597.4865,10597.4865,10597.4865,2.09,2.23,2.14,2.0,7051.66,"T0:2次,T1:1次,T2:1次,T3:1次",15.0,44.0,496.4,0.0029,37.2,4.4,555.6,0.0101,64.0,7.6,495.0,0.0051,25.4,4.6,453.0,0.0196,30.4,2.2,937.4,0.6356,78.2,9.6,119.4,0.0552,1.2,0.4,943.2,0.5758,77.6,8.8,1.3335,1.2983,3.9512,10597.4865,10597.4865,10597.4865,2.52,4.39,3.51,2.0,7051.66,"T0:1次,T1:1次,T2:2次,T3:1次",15.8,44.0,660.0,0.0081,77.0,4.4,685.4,0.0281,81.8,6.0,654.6,0.0011,74.2,7.6,903.8,0.1,115.2,6.6,133.2,0.0003,3.4,1.6,963.0,0.4269,114.4,9.8,0.5644,8.1226,2.4768
10-12-5-3-(2),10,12,5,3,7405.506,7405.506,7405.506,2.5,2.57,2.53,1.0,4930.34,"T0:2次,T1:2次,T3:1次",15.8,44.0,491.2,0.0054,18.2,3.2,527.4,0.0242,26.6,4.2,465.6,0.002,11.8,1.8,515.8,0.0064,19.8,4.6,981.6,0.8164,41.8,8.0,105.0,0.078,0.0,0.0,913.4,0.6951,34.6,5.8,1.6758,1.5077,4.8364,7405.506,7405.506,7405.506,2.15,4.47,3.29,1.0,4930.34,"T0:3次,T1:2次",16.0,44.0,664.6,0.0155,3.4,0.8,687.0,0.0233,3.8,2.0,648.4,0.001,3.2,1.6,906.0,0.108,4.2,1.8,138.8,0.0003,0.4,0.2,955.2,0.3995,5.8,2.4,0.5477,6.8323,2.7143
10-12-5-4-(0),10,12,5,4,12846.0675,12846.0675,12846.0675,2.63,2.7,2.66,2.0,8550.71,"T0:2次,T1:1次,T3:2次",19.2,44.0,506.8,0.0331,51.0,0.2,509.4,0.0225,71.4,0.2,505.0,0.0067,40.6,0.2,478.8,0.0141,34.0,0.2,929.2,0.7643,99.6,0.6,150.0,0.064,2.0,0.0,920.8,0.8157,95.4,0.2,1.7454,1.4497,5.1076,12846.0675,12847.0044,12846.3376,5.9,13.41,9.86,2.0,8550.89,"T0:2次,T1:1次,T2:2次",13.8,44.0,694.2,0.0087,75.8,5.8,588.6,0.0554,64.8,7.4,717.2,0.0058,84.6,6.4,866.8,0.1342,99.6,8.2,160.2,0.014,5.4,2.2,973.0,0.7992,120.2,9.2,1.0172,29.1124,2.318
10-12-5-4-(1),10,12,5,4,10133.961,10133.961,10133.961,2.42,2.5,2.47,2.0,6742.64,"T0:2次,T1:1次,T2:1次,T3:1次",16.0,44.0,512.2,0.0139,33.2,2.0,489.4,0.0134,39.6,1.8,489.6,0.0021,17.6,0.6,508.8,0.0065,37.2,2.0,939.4,0.5232,63.2,2.4,126.0,0.0288,0.2,0.0,934.6,0.6957,64.2,4.0,1.3093,1.5356,4.8472,10133.961,10133.961,10133.961,2.15,2.28,2.2,2.0,6742.64,"T0:4次,T1:1次",20.0,44.0,692.6,0.0094,30.6,0.0,629.2,0.0284,39.2,0.0,678.2,0.0011,38.2,0.0,888.4,0.0488,50.8,0.0,179.6,0.0004,2.6,0.0,932.0,0.2241,54.6,0.0,0.3122,3.5587,2.4462
